url,label
/products?session=xyz,0
/; cat /etc/passwd,1
/..\..\windows\system32\cmd.exe,1
/home,0
/dashboard?q=../../../../etc/passwd,1
/images/logo.png?session=xyz,0
/products?session=xyz,0
/api/user?session=xyz,0
/about?id=7196,0
/images/logo.png?q=javascript:alert(1),1
/api/user?q=admin' --,1
/products?session=xyz,0
"/UNION SELECT user, password FROM users",1
/products?page=1,0
/api/user?q=<script>alert(1)</script>,1
/api/user?q=| whoami,1
/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,1
/about?category=books,0
/images/logo.png?category=books,0
/contact?session=xyz,0
/products,0
/javascript:alert(1),1
/api/user?q=$$$$$$$$$$$$,1
/; cat /etc/passwd,1
/products?q=| whoami,1
/dashboard?q=../../../../etc/passwd,1
/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,1
/admin' --,1
/' OR '1'='1,1
/<script>alert(1)</script>,1
/..\..\windows\system32\cmd.exe,1
/dashboard?id=5478,0
/; cat /etc/passwd,1
/api/user?q=search,0
/products?session=xyz,0
/<img src=x onerror=alert('hacked')>,1
/login,0
/<script>alert(1)</script>,1
/about?q=search,0
/api/user?q=search,0
/dashboard,0
/images/logo.png?session=xyz,0
/admin' --,1
/&& netstat -an,1
/images/logo.png?session=xyz,0
/api/user?category=books,0
/about?q=$$$$$$$$$$$$,1
/about?session=xyz,0
/images/logo.png?category=books,0
/about?page=1,0
/%00%00%00,1
/assets/style.css?q=../../../../etc/passwd,1
/; cat /etc/passwd,1
/assets/style.css?id=6070,0
/products,0
/images/logo.png?q=' OR '1'='1,1
/about?category=books,0
/' OR 1=1 --,1
/assets/style.css,0
/$$$$$$$$$$$$,1
/about?session=xyz,0
/api/user?q=search,0
/login?page=1,0
/login?q=search,0
/<img src=x onerror=alert('hacked')>,1
/dashboard?category=books,0
/login?q=AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,1
/api/user?id=1358,0
/dashboard?q=| whoami,1
/images/logo.png?session=xyz,0
/contact?category=books,0
/about?id=3279,0
/assets/style.css?q=%00%00%00,1
/home?q=<img src=x onerror=alert('hacked')>,1
/' OR '1'='1,1
/dashboard?category=books,0
/home?category=books,0
/products?id=7064,0
/api/user?q=search,0
/home?q=; DROP TABLE students,1
/login?id=8933,0
/login?page=1,0
/products?category=books,0
/contact?id=93,0
/login?category=books,0
/login,0
/<img src=x onerror=alert('hacked')>,1
/api/user?q=<img src=x onerror=alert('hacked')>,1
/api/user?category=books,0
/<img src=x onerror=alert('hacked')>,1
/about?page=1,0
/images/logo.png?q=<script>alert(1)</script>,1
/login,0
/api/user?q=%00%00%00,1
/home?id=9799,0
/home?q=search,0
/home?page=1,0
/%00%00%00,1
/login?q=; DROP TABLE students,1
"/UNION SELECT user, password FROM users",1
/../../../../etc/passwd,1
/; cat /etc/passwd,1
/admin' --,1
/admin' --,1
/products?page=1,0
/contact?category=books,0
/api/user?id=2845,0
/home,0
/products?session=xyz,0
/products?page=1,0
/images/logo.png?q=<img src=x onerror=alert('hacked')>,1
/api/user?q=AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,1
/dashboard?q=../../../../etc/passwd,1
/images/logo.png?session=xyz,0
/<img src=x onerror=alert('hacked')>,1
/api/user?category=books,0
/api/user?q=<img src=x onerror=alert('hacked')>,1
/dashboard?id=2190,0
/api/user?q=%00%00%00,1
/about?q=<script>alert(1)</script>,1
/api/user?q=search,0
/home?q=admin' --,1
/assets/style.css,0
/contact?session=xyz,0
/api/user?page=1,0
/images/logo.png?session=xyz,0
"/UNION SELECT user, password FROM users",1
/home?q=&& netstat -an,1
/api/user?q=../../../../etc/passwd,1
/about,0
/' OR 1=1 --,1
/dashboard?id=2536,0
/dashboard,0
/products?session=xyz,0
/images/logo.png?q=$$$$$$$$$$$$,1
/javascript:alert(1),1
/images/logo.png?page=1,0
/about?page=1,0
/images/logo.png?q=&& netstat -an,1
/login?q=; cat /etc/passwd,1
/dashboard?q=&& netstat -an,1
/products,0
/contact,0
/home?q=%00%00%00,1
/' OR 1=1 --,1
/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,1
/about?category=books,0
/about,0
/<script>alert(1)</script>,1
/..\..\windows\system32\cmd.exe,1
/products?q=$$$$$$$$$$$$,1
/products?q=admin' --,1
/javascript:alert(1),1
/assets/style.css?q=; DROP TABLE students,1
